team,flag_code,flag_url,flag_svg_url
Alemania,de,https://flagcdn.com/24x18/de.png,https://flagcdn.com/de.svg
Arabia Saudita,sa,https://flagcdn.com/24x18/sa.png,https://flagcdn.com/sa.svg
Argelia,dz,https://flagcdn.com/24x18/dz.png,https://flagcdn.com/dz.svg
Argentina,ar,https://flagcdn.com/24x18/ar.png,https://flagcdn.com/ar.svg
Australia,au,https://flagcdn.com/24x18/au.png,https://flagcdn.com/au.svg
Austria,at,https://flagcdn.com/24x18/at.png,https://flagcdn.com/at.svg
Bélgica,be,https://flagcdn.com/24x18/be.png,https://flagcdn.com/be.svg
Bosnia y Herzegovina,ba,https://flagcdn.com/24x18/ba.png,https://flagcdn.com/ba.svg
Brasil,br,https://flagcdn.com/24x18/br.png,https://flagcdn.com/br.svg
Cabo Verde,cv,https://flagcdn.com/24x18/cv.png,https://flagcdn.com/cv.svg
Canadá,ca,https://flagcdn.com/24x18/ca.png,https://flagcdn.com/ca.svg
Catar,qa,https://flagcdn.com/24x18/qa.png,https://flagcdn.com/qa.svg
Colombia,co,https://flagcdn.com/24x18/co.png,https://flagcdn.com/co.svg
Corea del Sur,kr,https://flagcdn.com/24x18/kr.png,https://flagcdn.com/kr.svg
Costa de Marfil,ci,https://flagcdn.com/24x18/ci.png,https://flagcdn.com/ci.svg
Croacia,hr,https://flagcdn.com/24x18/hr.png,https://flagcdn.com/hr.svg
Curazao,cw,https://flagcdn.com/24x18/cw.png,https://flagcdn.com/cw.svg
Ecuador,ec,https://flagcdn.com/24x18/ec.png,https://flagcdn.com/ec.svg
Egipto,eg,https://flagcdn.com/24x18/eg.png,https://flagcdn.com/eg.svg
Escocia,gb-sct,https://flagcdn.com/24x18/gb-sct.png,https://flagcdn.com/gb-sct.svg
España,es,https://flagcdn.com/24x18/es.png,https://flagcdn.com/es.svg
Estados Unidos,us,https://flagcdn.com/24x18/us.png,https://flagcdn.com/us.svg
Francia,fr,https://flagcdn.com/24x18/fr.png,https://flagcdn.com/fr.svg
Ghana,gh,https://flagcdn.com/24x18/gh.png,https://flagcdn.com/gh.svg
Haití,ht,https://flagcdn.com/24x18/ht.png,https://flagcdn.com/ht.svg
Inglaterra,gb-eng,https://flagcdn.com/24x18/gb-eng.png,https://flagcdn.com/gb-eng.svg
Irak,iq,https://flagcdn.com/24x18/iq.png,https://flagcdn.com/iq.svg
Irán,ir,https://flagcdn.com/24x18/ir.png,https://flagcdn.com/ir.svg
Japón,jp,https://flagcdn.com/24x18/jp.png,https://flagcdn.com/jp.svg
Jordania,jo,https://flagcdn.com/24x18/jo.png,https://flagcdn.com/jo.svg
Marruecos,ma,https://flagcdn.com/24x18/ma.png,https://flagcdn.com/ma.svg
México,mx,https://flagcdn.com/24x18/mx.png,https://flagcdn.com/mx.svg
Noruega,no,https://flagcdn.com/24x18/no.png,https://flagcdn.com/no.svg
Nueva Zelanda,nz,https://flagcdn.com/24x18/nz.png,https://flagcdn.com/nz.svg
Países Bajos,nl,https://flagcdn.com/24x18/nl.png,https://flagcdn.com/nl.svg
Panamá,pa,https://flagcdn.com/24x18/pa.png,https://flagcdn.com/pa.svg
Paraguay,py,https://flagcdn.com/24x18/py.png,https://flagcdn.com/py.svg
Portugal,pt,https://flagcdn.com/24x18/pt.png,https://flagcdn.com/pt.svg
RD Congo,cd,https://flagcdn.com/24x18/cd.png,https://flagcdn.com/cd.svg
República Checa,cz,https://flagcdn.com/24x18/cz.png,https://flagcdn.com/cz.svg
Senegal,sn,https://flagcdn.com/24x18/sn.png,https://flagcdn.com/sn.svg
Sudáfrica,za,https://flagcdn.com/24x18/za.png,https://flagcdn.com/za.svg
Suecia,se,https://flagcdn.com/24x18/se.png,https://flagcdn.com/se.svg
Suiza,ch,https://flagcdn.com/24x18/ch.png,https://flagcdn.com/ch.svg
Túnez,tn,https://flagcdn.com/24x18/tn.png,https://flagcdn.com/tn.svg
Turquía,tr,https://flagcdn.com/24x18/tr.png,https://flagcdn.com/tr.svg
Uruguay,uy,https://flagcdn.com/24x18/uy.png,https://flagcdn.com/uy.svg
Uzbekistán,uz,https://flagcdn.com/24x18/uz.png,https://flagcdn.com/uz.svg
